Word,Frequency
AARON,6
ABBOTT,11
ABE,119
ABERDEEN,5
ABRAHAM,47
ABRAM,0
ABSALOM,6
ABYSSINIA,2
ACHILLES,1
ACRE,0
ADAM,37
ADAMS,47
ADDISON,5
ADELAIDE,2
ADIRONDACK,4
ADONIS,4
ADRIAN,165
ADRIATIC,1
AEGEAN,0
AENEAS,0
AEOLUS,0
AESIR,0
AFGHANISTAN,0
AFRICA,122
AFRICAN,21
AGAMEMNON,0
AGASSIZ,0
AGATHA,82
AGNES,123
AIREDALE,9
ALABAMA,30
ALADDIN,7
ALAN,276
ALASKA,57
ALASKAN,14
ALBAN,0
ALBANIA,15
ALBANY,17
ALBERMARLE,0
ALBERT,86
ALBION,1
ALBUQUERQUE,5
ALCESTIS,0
ALCOTT,4
ALENCON,0
ALEXANDER,50
ALEXANDRIA,11
ALFRED,22
ALGERIA,3
ALGERIAN,7
ALGIERS,12
ALGONQUIN,0
ALI,0
ALICE,366
ALLAH,2
ALLAN,4
ALLEGHANIES,3
ALLEGHENY,2
ALLEN,91
ALMA,27
ALONZO,6
ALPS,12
ALVA,15
AMELIA,26
AMERICA,734
AMERICAN,2329
AMERICANISM,7
AMERICANIZATION,9
AMERICANIZE,3
AMMON,1
AMOS,8
AMSTERDAM,5
AMY,251
ANDALUSIA,1
ANDERSON,53
ANDES,9
ANDREW,28
ANDREWS,67
ANDROMEDA,0
ANGELO,3
ANGLICAN,1
ANGLO-SAXON,13
ANGUS,42
ANJOU,0
ANN,139
ANNA,150
ANNAPOLIS,11
ANNE,187
ANNETTE,58
ANNIE,40
ANTHONY,9
ANTIOCH,3
ANTOINETTE,8
ANTONIO,5
ANTONY,2
ANTWERP,2
APACHE,12
APENNINES,0
APHRODITE,2
APOLLO,5
APPALACHIAN,2
APPALACHIANS,1
APRIL,297
AQUITAINE,0
ARAB,43
ARABELLA,14
ARABIA,16
ARABIAN,0
ARABIC,6
ARAGON,1
ARCADIA,0
ARCADIAN,1
ARCHIBALD,20
ARCHIMEDES,1
ARDEN,4
ARGENTINA,15
ARGENTINE,10
ARGO,4
ARGONNE,11
ARGOS,0
ARGUS,4
ARIADNE,0
ARIEL,101
ARISTOPHANES,3
ARISTOTLE,2
ARIZONA,77
ARKANSAS,55
ARLINGTON,32
ARMADA,0
ARMENIA,2
ARMENIAN,8
ARMSTRONG,13
ARNO,3
ARNOLD,44
ARTEMIS,31
ARTHUR,432
ARYAN,3
ASA,1
ASCLEPIUS,0
ASGARD,0
ASHLEY,5
ASIA,37
ASIATIC,37
ASQUITH,3
ASSYRIA,2
ASSYRIAN,4
ASTOR,16
ATALANTA,0
ATHENE,1
ATHENIAN,4
ATHENS,18
ATLANTA,20
ATLANTIC,133
AUDUBON,3
AUGSBURG,5
AUGUST,328
AUGUSTA,22
AUGUSTINE,4
AUGUSTUS,6
AUSTIN,39
AUSTRALASIA,0
AUSTRALIA,48
AUSTRALIAN,14
AUSTRIA,92
AUSTRIA-HUNGARY,3
AVALON,1
AVIGNON,3
AVON,2
AXMINSTER,10
AZORES,3
AZTEC,7
BAAL,0
BABCOCK,5
BABEL,3
BABYLON,6
BABYLONIA,2
BABYLONIAN,2
BACCHUS,1
BACH,15
BACON,0
BADEN,0
BAGDAD,2
BAILEY,24
BAKER,0
BALAAM,2
BALBOA,2
BALDWIN,12
BALDY,55
BALFOUR,0
BALKAN,5
BALLIOL,2
BALTIC,5
BALTIMORE,68
BANGOR,8
BAPTIST,10
BARBADOS,2
BARBARA,61
BARBARY,5
BARCELONA,15
BARLEYCORN,0
BARMECIDE,0
BARNABAS,10
BARNUM,35
BARRIE,0
BARTHOLOMEW,49
BARTON,52
BASTILLE,2
BATH,0
BAUER,1
BAVARIA,5
BAVARIAN,0
BAYARD,2
BAYONNE,4
BEATRICE,97
BEAUFORT,1
BEAUMONT,1
BEAUREGARD,5
BECKET,0
BEDFORD,8
BEDOUIN,2
BEERSHEBA,1
BEETHOVEN,11
BELFAST,4
BELGIAN,24
BELGIUM,32
BELGRADE,0
BELL,0
BELVEDERE,1
BEN,245
BENARES,2
BENEDICTINE,0
BENGAL,4
BENJAMIN,25
BENNETT,169
BENTLEY,7
BERBER,3
BERING,0
BERKELEY,7
BERKSHIRE,5
BERLIN,111
BERMUDA,47
BERN,16
BERNARD,82
BERT,155
BERTHA,11
BERTRAND,0
BESS,16
BETH,52
