Model,Word,Model Turns,Human Turns,% in Human Top 10
associations00_optimal,BOAST,5,3.7,0.2
associations00_optimal,BROWN,4,4.2,0.5
associations00_optimal,CHOCK,4,4.1,0.25
associations00_optimal,CRYPT,5,3.6,0.2
associations00_optimal,DOGMA,6,4.2,0.0
associations00_optimal,DROOL,6,4.1,0.16666666666666666
associations00_optimal,ENDOW,6,4.2,0.3333333333333333
associations00_optimal,FLUNG,4,4.1,0.5
associations00_optimal,GOING,6,4.2,0.3333333333333333
associations00_optimal,HIPPO,6,4.0,0.16666666666666666
associations00_optimal,MAUVE,6,4.3,0.3333333333333333
associations00_optimal,NICHE,5,3.6,0.2
associations00_optimal,PATIO,6,3.6,0.16666666666666666
associations00_optimal,PEARL,5,3.5,0.4
associations00_optimal,PLUMB,6,4.1,0.3333333333333333
associations00_optimal,SLANG,6,3.8,0.3333333333333333
associations00_optimal,SPINE,6,3.5,0.16666666666666666
associations00_optimal,TWIST,5,3.8,0.4
associations00_optimal,VYING,6,4.8,0.5
associations00_optimal,WITCH,4,4.5,0.5
associations00_popular,BOAST,5,3.7,0.4
associations00_popular,BROWN,2,4.2,1.0
associations00_popular,CHOCK,6,4.1,0.16666666666666666
associations00_popular,CRYPT,6,3.6,0.0
associations00_popular,DOGMA,5,4.2,0.4
associations00_popular,DROOL,6,4.1,0.5
associations00_popular,ENDOW,4,4.2,0.5
associations00_popular,FLUNG,6,4.1,0.3333333333333333
associations00_popular,GOING,6,4.2,0.3333333333333333
associations00_popular,HIPPO,6,4.0,0.0
associations00_popular,MAUVE,5,4.3,0.4
associations00_popular,NICHE,5,3.6,0.4
associations00_popular,PATIO,5,3.6,0.4
associations00_popular,PEARL,4,3.5,0.5
associations00_popular,PLUMB,6,4.1,0.3333333333333333
associations00_popular,SLANG,6,3.8,0.3333333333333333
associations00_popular,SPINE,6,3.5,0.3333333333333333
associations00_popular,TWIST,6,3.8,0.16666666666666666
associations00_popular,VYING,6,4.8,0.3333333333333333
associations00_popular,WITCH,6,4.5,0.16666666666666666
associations00_random,BOAST,5,3.7,0.2
associations00_random,BROWN,4,4.2,0.25
associations00_random,CHOCK,6,4.1,0.16666666666666666
associations00_random,CRYPT,5,3.6,0.2
associations00_random,DOGMA,5,4.2,0.2
associations00_random,DROOL,6,4.1,0.0
associations00_random,ENDOW,6,4.2,0.16666666666666666
associations00_random,FLUNG,6,4.1,0.16666666666666666
associations00_random,GOING,3,4.2,0.3333333333333333
associations00_random,HIPPO,6,4.0,0.0
associations00_random,MAUVE,6,4.3,0.0
associations00_random,NICHE,6,3.6,0.3333333333333333
associations00_random,PATIO,5,3.6,0.2
associations00_random,PEARL,5,3.5,0.2
associations00_random,PLUMB,6,4.1,0.6666666666666666
associations00_random,SLANG,6,3.8,0.0
associations00_random,SPINE,5,3.5,0.2
associations00_random,TWIST,6,3.8,0.0
associations00_random,VYING,6,4.8,0.16666666666666666
associations00_random,WITCH,5,4.5,0.2
associations00_vowels,BOAST,6,3.7,0.3333333333333333
associations00_vowels,BROWN,3,4.2,0.6666666666666666
associations00_vowels,CHOCK,6,4.1,0.3333333333333333
associations00_vowels,CRYPT,5,3.6,0.4
associations00_vowels,DOGMA,6,4.2,0.16666666666666666
associations00_vowels,DROOL,6,4.1,0.3333333333333333
associations00_vowels,ENDOW,5,4.2,0.4
associations00_vowels,FLUNG,6,4.1,0.3333333333333333
associations00_vowels,GOING,3,4.2,0.6666666666666666
associations00_vowels,HIPPO,6,4.0,0.16666666666666666
associations00_vowels,MAUVE,6,4.3,0.3333333333333333
associations00_vowels,NICHE,5,3.6,0.4
associations00_vowels,PATIO,6,3.6,0.16666666666666666
associations00_vowels,PEARL,5,3.5,0.4
associations00_vowels,PLUMB,6,4.1,0.3333333333333333
associations00_vowels,SLANG,6,3.8,0.16666666666666666
associations00_vowels,SPINE,6,3.5,0.16666666666666666
associations00_vowels,TWIST,6,3.8,0.3333333333333333
associations00_vowels,VYING,6,4.8,0.16666666666666666
associations00_vowels,WITCH,4,4.5,0.5
associations02_optimal,BOAST,6,3.7,0.16666666666666666
associations02_optimal,BROWN,4,4.2,0.5
associations02_optimal,CHOCK,6,4.1,0.3333333333333333
associations02_optimal,CRYPT,6,3.6,0.16666666666666666
associations02_optimal,DOGMA,4,4.2,0.5
